freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.813e+02,7.052e+00,7.907e+00,5.963e+02
1.5,3.653e+02,2.702e+01,2.185e+01,4.142e+02
3.0,6.661e+01,2.799e+01,2.369e+01,1.183e+02
4.5,2.980e+02,2.456e+01,2.459e+01,3.471e+02
6.0,1.104e+03,2.739e+01,2.539e+01,1.157e+03
7.5,1.848e+03,2.721e+01,2.579e+01,1.901e+03
9.1,2.629e+03,2.562e+01,2.688e+01,2.682e+03
10.6,3.547e+03,2.594e+01,2.649e+01,3.600e+03
12.1,4.679e+03,2.658e+01,2.523e+01,4.731e+03
13.6,6.110e+03,3.231e+01,2.519e+01,6.167e+03
15.1,7.865e+03,9.606e+01,7.799e+01,8.039e+03
16.6,9.098e+03,1.922e+02,1.661e+02,9.457e+03
18.1,1.157e+04,1.109e+02,1.114e+02,1.180e+04
19.6,1.559e+04,8.700e+01,1.111e+02,1.579e+04
21.1,1.757e+04,1.048e+02,1.842e+02,1.786e+04
22.6,1.367e+04,8.102e+01,2.116e+02,1.396e+04
24.2,1.177e+04,4.903e+01,1.684e+02,1.199e+04
25.7,1.391e+04,3.509e+01,1.528e+02,1.410e+04
27.2,1.706e+04,3.255e+01,1.575e+02,1.725e+04
28.7,2.013e+04,3.014e+01,1.449e+02,2.031e+04
30.2,2.342e+04,3.076e+01,1.247e+02,2.357e+04
31.7,2.729e+04,3.161e+01,1.194e+02,2.744e+04
33.2,3.104e+04,3.034e+01,1.046e+02,3.118e+04
34.7,3.530e+04,2.864e+01,1.025e+02,3.543e+04
36.2,3.977e+04,2.902e+01,1.191e+02,3.992e+04
37.7,4.570e+04,2.644e+01,1.227e+02,4.585e+04
39.3,5.143e+04,2.900e+01,1.254e+02,5.158e+04
40.8,5.897e+04,3.333e+01,1.368e+02,5.914e+04
42.3,6.874e+04,3.373e+01,2.601e+02,6.904e+04
43.8,7.670e+04,3.939e+01,4.341e+02,7.717e+04
45.3,8.653e+04,3.640e+01,7.145e+02,8.728e+04
46.8,1.009e+05,3.199e+01,1.306e+03,1.022e+05
48.3,1.167e+05,3.207e+01,2.578e+03,1.193e+05
49.8,1.320e+05,4.183e+01,5.606e+03,1.377e+05
51.3,1.536e+05,9.298e+01,9.506e+03,1.632e+05
52.8,1.787e+05,1.724e+02,1.182e+04,1.907e+05
54.3,2.129e+05,2.546e+02,1.179e+04,2.249e+05
55.9,2.557e+05,3.077e+02,1.003e+04,2.661e+05
57.4,2.965e+05,3.511e+02,7.723e+03,3.046e+05
58.9,3.658e+05,3.982e+02,6.244e+03,3.724e+05
60.4,4.802e+05,4.133e+02,6.250e+03,4.868e+05
61.9,6.468e+05,3.987e+02,7.167e+03,6.544e+05
63.4,9.242e+05,5.544e+02,9.625e+03,9.344e+05
64.9,1.417e+06,1.069e+03,1.374e+04,1.432e+06
66.4,2.080e+06,1.855e+03,1.304e+04,2.094e+06
67.9,2.274e+06,2.404e+03,8.248e+03,2.285e+06
69.4,2.055e+06,2.689e+03,5.922e+03,2.063e+06
71.0,1.855e+06,2.821e+03,4.638e+03,1.862e+06
72.5,1.722e+06,2.687e+03,3.121e+03,1.728e+06
74.0,1.830e+06,2.577e+03,3.008e+03,1.835e+06
75.5,2.058e+06,2.546e+03,3.757e+03,2.064e+06
77.0,2.218e+06,2.923e+03,3.916e+03,2.225e+06
78.5,2.319e+06,3.275e+03,3.454e+03,2.326e+06
80.0,2.274e+06,3.688e+03,2.748e+03,2.280e+06
81.5,1.970e+06,4.133e+03,2.144e+03,1.976e+06
83.0,1.624e+06,4.523e+03,1.826e+03,1.630e+06
84.5,1.447e+06,4.474e+03,1.553e+03,1.453e+06
86.0,1.280e+06,4.330e+03,1.157e+03,1.285e+06
87.6,1.086e+06,4.014e+03,8.623e+02,1.091e+06
89.1,9.462e+05,3.834e+03,7.225e+02,9.507e+05
90.6,8.385e+05,3.624e+03,5.866e+02,8.427e+05
92.1,7.344e+05,3.323e+03,4.741e+02,7.382e+05
93.6,6.417e+05,3.080e+03,4.126e+02,6.452e+05
95.1,5.804e+05,2.997e+03,4.028e+02,5.838e+05
96.6,5.431e+05,3.025e+03,4.990e+02,5.466e+05
98.1,5.033e+05,2.881e+03,5.746e+02,5.067e+05
99.6,4.612e+05,2.634e+03,6.287e+02,4.645e+05
101.1,4.171e+05,2.406e+03,6.683e+02,4.202e+05
102.7,3.780e+05,2.263e+03,6.862e+02,3.809e+05
104.2,3.250e+05,2.042e+03,6.109e+02,3.277e+05
105.7,2.771e+05,1.878e+03,5.180e+02,2.795e+05
107.2,2.585e+05,1.843e+03,4.974e+02,2.608e+05
108.7,2.421e+05,1.815e+03,5.161e+02,2.444e+05
110.2,2.259e+05,1.832e+03,5.302e+02,2.283e+05
111.7,2.106e+05,1.716e+03,5.116e+02,2.128e+05
113.2,1.925e+05,1.552e+03,4.288e+02,1.944e+05
114.7,1.888e+05,1.849e+03,5.069e+02,1.911e+05
116.2,1.968e+05,2.287e+03,1.066e+03,2.001e+05
117.8,1.901e+05,2.115e+03,1.292e+03,1.935e+05
119.3,1.829e+05,1.901e+03,1.312e+03,1.861e+05
120.8,1.802e+05,1.801e+03,1.382e+03,1.834e+05
122.3,1.823e+05,1.869e+03,1.546e+03,1.857e+05
123.8,1.837e+05,1.958e+03,1.679e+03,1.873e+05
125.3,1.840e+05,2.114e+03,1.775e+03,1.879e+05
126.8,1.862e+05,2.318e+03,1.824e+03,1.904e+05
128.3,1.916e+05,2.694e+03,1.832e+03,1.961e+05
129.8,1.965e+05,3.303e+03,1.788e+03,2.016e+05
131.3,1.978e+05,3.990e+03,1.628e+03,2.034e+05
132.8,1.203e+05,2.938e+03,1.037e+03,1.243e+05
134.4,2.344e+04,1.044e+03,5.581e+02,2.505e+04
135.9,1.292e+04,6.440e+02,4.556e+02,1.402e+04
137.4,1.291e+04,5.164e+02,3.575e+02,1.379e+04
138.9,1.242e+04,7.137e+02,5.285e+02,1.366e+04
140.4,1.487e+04,1.278e+03,2.907e+02,1.644e+04
141.9,1.707e+04,2.160e+03,1.461e+02,1.938e+04
143.4,2.089e+04,3.333e+03,1.428e+02,2.437e+04
