freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.198e+02,3.608e+02,5.423e+02,1.323e+03
1.5,2.149e+03,1.674e+03,4.592e+02,4.282e+03
3.0,2.000e+03,1.902e+03,1.862e+02,4.088e+03
4.5,1.919e+03,1.867e+03,3.851e+02,4.171e+03
6.0,1.751e+03,2.257e+03,1.153e+03,5.160e+03
7.5,2.001e+03,2.305e+03,1.902e+03,6.208e+03
9.0,2.312e+03,2.331e+03,2.722e+03,7.364e+03
10.6,2.076e+03,2.136e+03,3.648e+03,7.859e+03
12.1,1.984e+03,2.369e+03,4.870e+03,9.222e+03
13.6,2.264e+03,2.879e+03,6.691e+03,1.183e+04
15.1,2.567e+03,3.766e+03,9.165e+03,1.550e+04
16.6,2.703e+03,3.447e+03,8.318e+03,1.447e+04
18.1,2.299e+03,2.252e+03,9.137e+03,1.369e+04
19.6,2.634e+03,2.382e+03,1.315e+04,1.817e+04
21.1,2.511e+03,2.250e+03,1.728e+04,2.204e+04
22.6,2.306e+03,2.283e+03,2.101e+04,2.560e+04
24.1,2.598e+03,2.252e+03,2.599e+04,3.084e+04
25.6,2.347e+03,2.698e+03,3.178e+04,3.682e+04
27.1,2.240e+03,3.181e+03,3.494e+04,4.036e+04
28.6,2.344e+03,3.488e+03,3.641e+04,4.224e+04
30.1,2.075e+03,3.651e+03,3.762e+04,4.335e+04
31.7,1.980e+03,4.217e+03,3.664e+04,4.284e+04
33.2,2.033e+03,4.302e+03,3.841e+04,4.475e+04
34.7,2.003e+03,4.308e+03,4.493e+04,5.124e+04
36.2,1.968e+03,4.506e+03,5.374e+04,6.022e+04
37.7,1.640e+03,4.869e+03,6.746e+04,7.397e+04
39.2,1.976e+03,5.703e+03,8.598e+04,9.366e+04
40.7,1.971e+03,5.344e+03,1.081e+05,1.154e+05
42.2,1.788e+03,4.786e+03,1.448e+05,1.514e+05
43.7,2.071e+03,5.379e+03,1.919e+05,1.993e+05
45.2,1.923e+03,6.182e+03,2.180e+05,2.261e+05
46.7,1.797e+03,7.599e+03,2.434e+05,2.528e+05
48.2,2.216e+03,9.093e+03,2.905e+05,3.018e+05
49.7,2.326e+03,9.702e+03,3.570e+05,3.691e+05
51.2,2.378e+03,1.083e+04,5.107e+05,5.239e+05
52.8,2.340e+03,1.222e+04,8.880e+05,9.025e+05
54.3,3.270e+03,1.253e+04,1.718e+06,1.734e+06
55.8,4.949e+03,1.017e+04,2.650e+06,2.666e+06
57.3,6.997e+03,8.193e+03,2.600e+06,2.615e+06
58.8,6.902e+03,8.842e+03,2.003e+06,2.019e+06
60.3,5.358e+03,1.305e+04,1.551e+06,1.570e+06
61.8,3.768e+03,2.027e+04,1.207e+06,1.231e+06
63.3,3.121e+03,2.583e+04,9.113e+05,9.402e+05
64.8,3.065e+03,3.032e+04,6.871e+05,7.205e+05
66.3,2.523e+03,3.410e+04,5.204e+05,5.570e+05
67.8,2.783e+03,3.963e+04,3.971e+05,4.395e+05
69.3,2.049e+03,5.212e+04,3.222e+05,3.763e+05
70.8,1.897e+03,7.621e+04,2.786e+05,3.567e+05
72.3,4.313e+03,1.183e+05,2.345e+05,3.572e+05
73.9,1.645e+04,1.800e+05,1.856e+05,3.821e+05
75.4,4.278e+04,2.685e+05,1.368e+05,4.482e+05
76.9,6.777e+04,3.778e+05,9.478e+04,5.403e+05
78.4,6.561e+04,4.301e+05,7.265e+04,5.684e+05
79.9,4.938e+04,3.836e+05,6.880e+04,5.018e+05
81.4,3.391e+04,2.966e+05,6.980e+04,4.003e+05
82.9,2.089e+04,2.196e+05,7.072e+04,3.112e+05
84.4,1.323e+04,1.690e+05,7.491e+04,2.572e+05
85.9,1.025e+04,1.342e+05,7.829e+04,2.227e+05
87.4,7.599e+03,1.153e+05,8.125e+04,2.042e+05
88.9,6.949e+03,9.971e+04,8.217e+04,1.888e+05
90.4,6.019e+03,8.442e+04,8.221e+04,1.726e+05
91.9,4.619e+03,7.350e+04,8.042e+04,1.585e+05
93.4,4.953e+03,6.706e+04,7.844e+04,1.505e+05
95.0,5.314e+03,6.263e+04,7.772e+04,1.457e+05
96.5,5.686e+03,5.791e+04,7.752e+04,1.411e+05
98.0,5.818e+03,5.035e+04,7.679e+04,1.330e+05
99.5,5.811e+03,4.477e+04,7.434e+04,1.249e+05
101.0,5.509e+03,3.862e+04,7.086e+04,1.150e+05
102.5,5.293e+03,3.342e+04,6.666e+04,1.054e+05
104.0,4.635e+03,2.827e+04,5.965e+04,9.255e+04
105.5,3.410e+03,2.290e+04,5.153e+04,7.784e+04
107.0,3.232e+03,2.082e+04,4.974e+04,7.379e+04
108.5,3.296e+03,1.936e+04,4.946e+04,7.211e+04
110.0,3.579e+03,1.811e+04,4.879e+04,7.048e+04
111.5,4.279e+03,1.715e+04,4.774e+04,6.917e+04
113.0,4.123e+03,1.617e+04,4.648e+04,6.677e+04
114.5,4.037e+03,1.495e+04,4.453e+04,6.352e+04
